名前,開始予定時間,完了予定時間,機械名称,開始時刻,数量
310793,-1320,-720,34,-842,68000
310430,-3390,210,21,-1314,4000
309879,-3390,1080,23,-1289,16000
310146,-2520,810,22,-1355,8000
310147,-3120,210,None,None,4000
310301,-2190,480,None,None,60000
310479,-2190,480,None,None,2000
310040,-1590,210,None,None,21720
309296,-3720,1080,None,None,20000
310106,-2520,1080,None,None,8000
310117,-2790,1080,None,None,10000
310255,-2520,810,None,None,8000
310256,-2520,810,None,None,20000
310326,-720,1080,None,None,14400
310101,-2520,1410,None,None,8000
310102,-2520,1410,None,None,4000
310212,-2790,1680,None,None,20000
310380,-1920,1410,None,None,4000
310386,-1920,1410,None,None,16000
310690,-1920,1680,None,None,40000
310287,-1590,1680,None,None,336000
310436,-1590,1680,None,None,40600
310555,-1320,1410,None,None,12000
310584,210,1680,None,None,4400
310792,210,1680,None,None,92000
310906,210,1410,None,None,2000
308308,-1920,2280,None,None,160000
309258,-1920,2010,None,None,8000
310039,-1590,2280,None,None,2680
310545,-1320,2010,None,None,20000
310791,-720,2010,None,None,24000
310351,210,2010,None,None,8600
307768,1080,2280,None,None,40000
310435,810,2280,None,None,12000
310668,810,2280,None,None,20400
310199,-2190,2880,None,None,480000
310431,-1920,2610,None,None,800
310639,480,2880,None,None,40000
310561,1080,2610,None,None,252000
310794,810,2880,None,None,6000
310790,1410,2880,None,None,120000
310579,-2520,4680,None,None,20000
309897,-1320,4410,None,None,12000
310602,480,4410,None,None,4000
310603,480,4410,None,None,4000
310684,480,4680,None,None,40000
310832,210,4410,None,None,24000
310726,1080,4410,None,None,800
310727,1080,4410,None,None,800
310782,1080,4410,None,None,1200
310785,1080,4410,None,None,4000
310104,480,5010,None,None,20000
310798,480,5280,None,None,4000
310884,210,5280,None,None,12000
310530,1080,5280,None,None,12000
310883,1680,5010,None,None,2000
310895,1680,5010,None,None,6400
310787,2280,5280,None,None,104000
310853,2610,5280,None,None,20000
309961,-3000,5880,None,None,10400
310192,-2190,5610,None,None,400000
310816,1680,5610,None,None,89600
310687,2010,5880,None,None,46000
310763,2010,5880,None,None,220000
310801,2280,5610,None,None,4000
310802,2280,5610,None,None,16000
310806,2280,5610,None,None,8000
310887,2280,5610,None,None,8000
310525,1080,6480,None,None,82000
310224,2280,6480,None,None,24000
310888,2880,6210,None,None,32000
310730,2880,6810,None,None,10000
310733,2880,6810,None,None,12000
310905,6210,7080,None,None,8400
310226,480,9210,None,None,7200
310605,4680,9210,None,None,16000
310844,4410,9210,None,None,22000
310893,5280,9210,None,None,20000
310693,6810,9210,None,None,200000
310734,5880,11010,None,None,14000
